,PVC
769,500120
770,500833
771,501491
772,502113
773,503464
774,504184
775,504855
776,505545
777,506239
778,506416
779,506943
780,507746
781,509187
782,510603
783,511277
784,512198
785,513294
786,513986
787,515413
788,515920
789,516627
790,517282
791,518558
792,518750
793,519231
794,520534
795,521161
796,521826
797,522516
798,523207
799,523376
800,524476
801,526545
802,527180
803,527839
804,528326
805,529160
806,529782
807,530426
808,531077
809,532348
810,533052
811,533765
812,533963
813,534417
814,536471
815,536961
816,538898
817,539584
818,541635
819,542281
820,542895
821,543512
822,544172
823,544823
824,546112
825,546754
826,547360
827,548162
828,550796
829,552166
830,552848
831,554293
832,554795
833,556082
834,557460
835,558241
836,560390
837,561080
838,561777
839,562456
840,563119
841,563848
842,564538
843,565259
844,565978
845,566679
846,567372
847,568100
848,568795
849,569509
850,570261
851,570976
852,571691
853,572423
854,573131
855,573651
856,574391
857,575096
858,575797
859,576532
860,577255
861,577437
862,577970
863,578696
864,579391
865,580108
866,580293
867,581110
868,581298
869,581899
870,582645
871,583192
872,583370
873,583909
874,584645
875,585379
876,585894
877,586089
878,586653
879,587361
880,587909
881,588609
882,589304
883,589844
884,590547
885,590719
886,591343
887,592057
888,592239
889,592841
890,593552
891,594124
892,594814
893,595490
894,596212
895,596933
896,597644
897,598381
898,599075
899,601764
900,602483
901,603028
902,603549
903,603713
904,604242
905,604950
906,605469
907,606180
908,606408
909,606926
910,607452
911,607642
912,608946
913,609123
914,609772
915,610313
916,610853
917,611045
918,611629
919,611825
920,612343
921,613064
922,613758
923,613942
924,614531
925,615064
926,615620
927,615804
928,616368
929,616924
930,617667
931,618365
932,618540
933,619137
934,619703
935,619864
936,620428
937,621102
938,621662
939,622389
940,622608
941,623086
942,623797
943,623988
944,624557
945,624716
946,625234
947,625949
948,626652
949,627165
950,627346
951,627894
952,628434
953,628611
954,629130
955,630057
956,630583
957,630762
958,631315
959,631831
960,632022
961,632580
962,633288
963,633474
964,633977
965,634716
966,634937
967,635449
968,636133
969,636335
970,636900
971,637612
972,637829
973,638319
974,638860
975,639573
976,640277
977,640467
978,641037
979,641732
980,641912
981,642707
982,643453
983,644169
984,644876
985,645611
986,646267
987,646967
988,647681
989,648223
990,648894
991,649411
