,PVC
637,506070
638,506918
639,507785
640,510931
641,511375
642,511776
643,512248
644,513102
645,513965
646,514818
647,515666
648,516513
649,516659
650,517140
651,518007
652,518501
653,520623
654,521473
655,521959
656,522773
657,523624
658,524486
659,524640
660,525087
661,525513
662,525940
663,526129
664,527018
665,527499
666,528323
667,529195
668,530039
669,530890
670,531035
671,531491
672,531677
673,532333
674,532802
675,533618
676,534231
677,535084
678,535941
679,536798
680,537639
681,538504
682,539351
683,540209
684,541057
685,541899
686,542742
687,543591
688,544437
689,545287
690,546135
691,546974
692,547824
693,548671
694,549512
695,549929
696,550364
697,552237
698,552709
699,552844
700,553718
701,554596
702,555456
703,556307
704,557174
705,558047
706,558891
707,559743
708,560599
709,561473
710,562333
711,563187
712,564036
713,564893
714,565758
715,566620
716,567476
717,568330
718,569173
719,570057
720,570628
721,571489
722,572326
723,573170
724,573995
725,574859
726,575705
727,576554
728,577392
729,578243
730,579091
731,579932
732,580769
733,581593
734,582451
735,583296
736,584146
737,584999
738,585843
739,586702
740,587564
741,588413
742,589273
743,590126
744,590986
745,591843
746,592697
747,593563
748,594420
749,594572
750,595074
751,595486
752,597186
753,597663
754,597784
755,598677
756,599533
757,600378
758,601235
759,602090
760,602944
761,603796
762,604666
763,605591
764,605975
765,606433
766,606847
767,607307
768,608567
769,608737
770,609663
771,610124
772,611015
773,611677
774,612276
775,612725
776,613362
777,614240
778,615108
779,616823
780,617685
781,618556
782,619439
783,620294
784,621155
785,621297
786,621763
787,622675
788,623542
789,623671
790,624133
791,625026
792,625904
793,626034
794,626497
795,627402
796,628266
797,628399
798,628855
799,629711
800,630141
801,630601
802,631488
803,631630
804,631784
805,632310
806,633571
807,634008
808,634880
809,635745
810,636602
811,636730
812,637202
813,637637
814,638260
815,638677
816,639320
817,639811
818,640809
819,642508
820,643333
821,643468
822,643938
823,644548
824,644963
825,645388
826,645803
827,646241
828,647513
829,648382
830,649237
